GO	0	0	0	1	0	0	0	6000	0
GO	0	0	0	1	0	0	0	2000	0
GO	0	0	0	1	0	0	0	2000	0
GO	0	0	0	1	0	0	0	2000	0
GO	0	0	0	1	0	0	0	2000	0
GP	0	0	0	0	0	1	1	2000	294
GP	0	0	0	0	0	1	1	2706	294
GP	0	0	0	0	0	1	1	2706	294
GP	0	0	0	0	0	1	1	2706	294
GP	0	0	0	0	0	1	1	2706	294
PO	0	0	0	0	1	0	0	0	2706
PO	0	0	0	0	1	0	0	0	2000
PO	0	0	0	0	1	0	0	0	2000
PO	0	0	0	0	1	0	0	0	2000
PO	0	0	0	0	1	0	0	0	2000
PP	0	1	1	0	0	0	0	2000	260
PP	0	1	1	0	0	0	0	2740	260
PP	0	1	1	0	0	0	0	2740	260
PP	0	1	1	0	0	0	0	2740	260
PP	0	1	1	0	0	0	0	2740	260
