PO	0	0	0	0	1	0	0	0	6160
GP	0	0	0	0	0	1	1	2940	294
GP	0	0	0	0	0	1	1	2916	294
GO	0	0	0	1	0	0	0	2606	0
PO	0	0	0	0	1	0	0	0	2830
PP	0	1	1	0	0	0	0	3420	260
PP	0	1	1	0	0	0	0	2350	260
GO	0	0	0	1	0	0	0	3060	0
PP	0	1	1	0	0	0	0	3070	260
GO	0	0	0	1	0	0	0	2410	0
GP	0	0	0	0	0	1	1	3310	294
PP	0	1	1	0	0	0	0	2476	260
GP	0	0	0	0	0	1	1	2750	294
PO	0	0	0	0	1	0	0	0	2966
PO	0	0	0	0	1	0	0	0	2640
GO	0	0	0	1	0	0	0	3010	0
GP	0	0	0	0	0	1	1	3220	294
PP	0	1	1	0	0	0	0	2566	260
PO	0	0	0	0	1	0	0	0	2700
GO	0	0	0	1	0	0	0	3150	0
